Date,Depth,Temperature
06/12/2019,0.5,20
06/12/2019,2.5,19.6
06/12/2019,5,17.5
06/12/2019,7.5,14.1
06/12/2019,10,13.4
06/12/2019,15,10.7
06/26/2019,0.5,22.2
06/26/2019,2.5,19.3
06/26/2019,5,15.2
06/26/2019,7.5,12.7
06/26/2019,10,11.1
06/26/2019,15,10
07/11/2019,0.5,25.4
07/11/2019,2.5,23.4
07/11/2019,5,17.7
07/11/2019,7.5,17.7
07/11/2019,10,14.5
07/11/2019,15,10.6
07/24/2019,0.5,24.5
07/24/2019,7.5,15.6
07/24/2019,15,12.5
08/14/2019,0,22.4
08/14/2019,7.5,18.4
08/14/2019,15,13